species_common_name,species_scientific_name,species_abbreviation,lat,count
Royal / Wandering albatross,Diomedea epomophora ,DIOEPOSANANTEXU,-45.916666666666664,6
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-45.916666666666664,2
Cape petrel,Daption capense,DAPCAP,-45.916666666666664,8
Fairy prion,Pachyptila turtur,PACTUR,-45.916666666666664,2
Sooty shearwater,Puffinus griseus,PUFGRI,-45.916666666666664,4
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-35.53333333333333,10
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-35.53333333333333,2
Sooty shearwater,Puffinus griseus,PUFGRI,-35.53333333333333,18
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-37.666666666666664,10
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-37.666666666666664,2
Cape petrel,Daption capense,DAPCAP,-37.666666666666664,2
Prion ,Pachyptila sp,PACSP,-37.666666666666664,2
Sooty shearwater,Puffinus griseus,PUFGRI,-37.666666666666664,8
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-40,14
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-40,4
Giant petrel ,Macronectes sp.,MACSP,-40,3
Cape petrel,Daption capense,DAPCAP,-40,8
Fairy prion,Pachyptila turtur,PACTUR,-40,18
Fairy prion,Pachyptila turtur,PACTUR,-36.166666666666664,6
Black petrel,Procellaria parkinsoni,PROPAR,-36.166666666666664,55
Australasian gannet,Morus serrator,MORSER,-36.166666666666664,12
Wilson's storm petrel,Oceanites oceanicus,OCEOCE,-35.416666666666664,22
Australasian gannet,Morus serrator,MORSER,-35.416666666666664,7
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-35.25,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-35.25,2
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-35.25,3
Northern giant petrel,Macronectes halli,MACHAL,-35.25,3
White-chinned petrel,Procellaria aequinoctialis,PROAEQ,-35.25,1
Sooty shearwater,Puffinus griseus,PUFGRI,-35.25,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-35.3,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-35.3,2
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-35.3,3
Northern giant petrel,Macronectes halli,MACHAL,-35.3,1
White-chinned petrel,Procellaria aequinoctialis,PROAEQ,-35.3,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-36.5,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-36.5,4
Northern royal albatross ,Diomedea sanfordi ,DIOSAN,-36.5,2
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-36.5,4
White-chinned petrel,Procellaria aequinoctialis,PROAEQ,-36.5,2
Petrel ,NA,PETRUN,-36.5,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-36.333333333333336,1
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-36.333333333333336,3
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-39.18333333333333,1
Sooty shearwater,Puffinus griseus,PUFGRI,-39.18333333333333,1
Australasian gannet,Morus serrator,MORSER,-39.18333333333333,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39.666666666666664,3
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-39.666666666666664,2
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-39.666666666666664,3
White-chinned petrel,Procellaria aequinoctialis,PROAEQ,-39.666666666666664,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39.666666666666664,3
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-39.666666666666664,2
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-39.666666666666664,3
White-chinned petrel,Procellaria aequinoctialis,PROAEQ,-39.666666666666664,6
Sooty shearwater,Puffinus griseus,PUFGRI,-39.666666666666664,48
Diving-petrel ,Pelecanoides sp.,PELSP,-39.666666666666664,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39.85,3
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-39.85,2
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-39.85,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39.93333333333333,3
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-39.93333333333333,2
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-39.93333333333333,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40,3
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-40,2
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-40,3
Diving-petrel ,Pelecanoides sp.,PELSP,-40,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.1,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.1,1
Southern royal albatross ,Diomedea epomophora ,DIOEPO,-40.1,2
Southern royal albatross ,Diomedea epomophora ,DIOEPO,-40.1,3
Cape petrel,Daption capense,DAPCAP,-40.1,4
Broad-billed prion,Pachyptila vittata,PACVIT,-40.1,48
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.166666666666664,1
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-40.166666666666664,1
Fairy prion,Pachyptila turtur,PACTUR,-40.166666666666664,4
Buller's shearwater,Puffinus bulleri,PUFBUL,-40.166666666666664,4
Sooty shearwater,Puffinus griseus,PUFGRI,-40.166666666666664,2
Broad-billed prion,Pachyptila vittata,PACVIT,-40.166666666666664,32
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.2,2
Buller's shearwater,Puffinus bulleri,PUFBUL,-40.2,2
Skua ,Catharacta ,SKUAUN,-40.2,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.21666666666667,2
Cape petrel,Daption capense,DAPCAP,-40.21666666666667,3
Buller's shearwater,Puffinus bulleri,PUFBUL,-40.21666666666667,15
Sooty shearwater,Puffinus griseus,PUFGRI,-40.21666666666667,2
Australasian gannet,Morus serrator,MORSER,-40.21666666666667,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,6
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-33,1
Cape petrel,Daption capense,DAPCAP,-33,5
Flesh-footed shearwater,Puffinus carneipes,PUFCAR,-33,1
Subantarctic skua,Catharacta antarctica,CATANT,-33,1
Wedge-tailed shearwater,Puffinus pacificus,PUFPAC,-33,40
Black-winged petrel,Pterodroma nigripennis,PTENIG,-33,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,7
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-34,1
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-34,1
Cape petrel,Daption capense,DAPCAP,-34,3
Pomarine skua,Stercorarius pomarinus,STEPOM,-34,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-35,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-35,5
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-35,5
Giant petrel ,Macronectes sp.,MACSP,-35,1
Cape petrel,Daption capense,DAPCAP,-35,4
Shearwater ,Puffinus sp.,PUFSP,-35,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-36,4
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-36,7
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-36,5
Cape petrel,Daption capense,DAPCAP,-36,3
Sooty shearwater,Puffinus griseus,PUFGRI,-36,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-37,4
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-37,5
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-37,1
Giant petrel ,Macronectes sp.,MACSP,-37,1
Cape petrel,Daption capense,DAPCAP,-37,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39,7
Cape petrel,Daption capense,DAPCAP,-39,1
Sooty shearwater,Puffinus griseus,PUFGRI,-39,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40,6
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-40,1
Cape petrel,Daption capense,DAPCAP,-40,6
Prion ,Pachyptila sp,PACSP,-40,5
Sooty shearwater,Puffinus griseus,PUFGRI,-40,26
Black-bellied storm petrel,Fregetta tropica,FRETRO,-40,5
Tern ,Sterna sp.,STENSP,-40,1
Shearwater ,Puffinus sp.,PUFSP,-40,100
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40,11
Cape petrel,Daption capense,DAPCAP,-40,4
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-40,1
White-headed petrel,Pterodroma lessonii,PTELES,-40,1
Prion ,Pachyptila sp,PACSP,-40,1
Sooty shearwater,Puffinus griseus,PUFGRI,-40,32
White-bellied storm petrel,Fregetta grallaria,FREGRA,-40,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-41,11
Giant petrel ,Macronectes sp.,MACSP,-41,2
Cape petrel,Daption capense,DAPCAP,-41,5
Prion ,Pachyptila sp,PACSP,-41,100
Shearwater ,Puffinus sp.,PUFSP,-41,8
Black-winged petrel,Pterodroma nigripennis,PTENIG,-41,1
Cape petrel,Daption capense,DAPCAP,-42,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,2
Cape petrel,Daption capense,DAPCAP,-42,2
Tern ,Sterna sp.,STENSP,-42,1
Giant petrel ,Macronectes sp.,MACSP,-43,1
Cape petrel,Daption capense,DAPCAP,-43,1
Black-bellied storm petrel,Fregetta tropica,FRETRO,-43,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,2
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-44,1
Grey-headed mollymawk,Thalassarche chrysostoma,THACHR,-44,1
Giant petrel ,Macronectes sp.,MACSP,-44,9
Cape petrel,Daption capense,DAPCAP,-44,27
White-headed petrel,Pterodroma lessonii,PTELES,-44,1
Black-bellied storm petrel,Fregetta tropica,FRETRO,-44,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-46,2
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-46,1
Giant petrel ,Macronectes sp.,MACSP,-46,5
Cape petrel,Daption capense,DAPCAP,-46,5
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-46,3
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-46,5
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-46,1
Buller's mollymawk,Thalassarche bulleri,THABUL,-46,3
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-46,2
Giant petrel ,Macronectes sp.,MACSP,-46,4
Cape petrel,Daption capense,DAPCAP,-46,25
Prion ,Pachyptila sp,PACSP,-46,20
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-36,2
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-36,1
Giant petrel ,Macronectes sp.,MACSP,-36,3
Cape petrel,Daption capense,DAPCAP,-36,2
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-36,8
Buller's shearwater,Puffinus bulleri,PUFBUL,-36,2
Southern black-backed gull ,Larus dominicanus ,LARDOM,-36,2
Giant petrel ,Macronectes sp.,MACSP,-34,1
Buller's shearwater,Puffinus bulleri,PUFBUL,-34,9
Sooty shearwater,Puffinus griseus,PUFGRI,-34,1
Storm-petrel ,NA,STPEUN,-34,8
Giant petrel ,Macronectes sp.,MACSP,-34,1
Flesh-footed shearwater,Puffinus carneipes,PUFCAR,-34,4
Buller's shearwater,Puffinus bulleri,PUFBUL,-34,202
Australasian gannet,Morus serrator,MORSER,-34,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,NA
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-34,1
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-34,2
Giant petrel ,Macronectes sp.,MACSP,-34,3
Flesh-footed shearwater,Puffinus carneipes,PUFCAR,-34,9
Buller's shearwater,Puffinus bulleri,PUFBUL,-34,73
Australasian gannet,Morus serrator,MORSER,-34,4
Southern black-backed gull ,Larus dominicanus ,LARDOM,-34,8
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,2
Giant petrel ,Macronectes sp.,MACSP,-34,2
Cape petrel,Daption capense,DAPCAP,-34,2
All dark shearwater ,NA,PUFSPDRK,-34,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,5
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,2
Giant petrel ,Macronectes sp.,MACSP,-34,2
Cape petrel,Daption capense,DAPCAP,-34,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,8
Giant petrel ,Macronectes sp.,MACSP,-34,1
Cape petrel,Daption capense,DAPCAP,-34,8
Buller's shearwater,Puffinus bulleri,PUFBUL,-34,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,3
Giant petrel ,Macronectes sp.,MACSP,-34,2
Cape petrel,Daption capense,DAPCAP,-34,2
Shearwater ,Puffinus sp.,PUFSP,-34,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,2
Giant petrel ,Macronectes sp.,MACSP,-34,2
Cape petrel,Daption capense,DAPCAP,-34,7
White-headed petrel,Pterodroma lessonii,PTELES,-34,NA
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,2
Cape petrel,Daption capense,DAPCAP,-34,2
Sooty shearwater,Puffinus griseus,PUFGRI,-34,1
Shearwater ,Puffinus sp.,PUFSP,-34,1
Red-tailed tropicbird,Phaethon rubricauda,PHARUB,-34,NA
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,1
Cape petrel,Daption capense,DAPCAP,-34,3
Shearwater ,Puffinus sp.,PUFSP,-34,7
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,3
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-33,1
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-33,1
Cape petrel,Daption capense,DAPCAP,-33,3
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-33,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-34,3
Shearwater ,Puffinus sp.,PUFSP,-34,2
Australasian gannet ,Morus serrator ,MORSER,-33,NA
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,3
Cape petrel,Daption capense,DAPCAP,-33,2
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-33,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,3
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-33,3
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-33,1
Cape petrel,Daption capense,DAPCAP,-33,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,6
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-33,7
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-33,2
Cape petrel,Daption capense,DAPCAP,-33,3
Sooty shearwater,Puffinus griseus,PUFGRI,-33,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,1
Cape petrel,Daption capense,DAPCAP,-33,1
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-33,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,1
Cape petrel,Daption capense,DAPCAP,-33,3
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-33,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33,8
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-33,1
Cape petrel,Daption capense,DAPCAP,-33,2
Buller's mollymawk,Thalassarche bulleri,THABUL,-45,1
Shy / White-capped mollymawk,Thallassarche cauta cauta ,THACAUCAUSTE,-45,1
Salvin's mollymawk,Thalassarche salvini,THASAL,-45,2
Grey-headed mollymawk,Thalassarche chrysostoma,THACHR,-45,1
Cape petrel,Daption capense,DAPCAP,-45,6
Sooty shearwater,Puffinus griseus,PUFGRI,-45,50
Southern black-backed gull,Larus dominicanus,LARDOM,-45,25
Salvin's mollymawk,Thalassarche salvini,THASAL,-45,2
Cape petrel,Daption capense,DAPCAP,-45,3
Sooty shearwater,Puffinus griseus,PUFGRI,-45,500
Southern black-backed gull ,Larus dominicanus ,LARDOM,-45,20
Cape petrel,Daption capense,DAPCAP,-46,6
Sooty shearwater,Puffinus griseus,PUFGRI,-46,250
Buller's mollymawk,Thalassarche bulleri,THABUL,-46,1
Giant petrel ,Macronectes sp.,MACSP,-46,2
Cape petrel,Daption capense,DAPCAP,-46,6
Prion ,Pachyptila sp,PACSP,-46,2
Sooty shearwater,Puffinus griseus,PUFGRI,-46,200
Southern black-backed gull,Larus dominicanus,LARDOM,-46,2
Salvin's mollymawk,Thalassarche salvini,THASAL,-46,1
Giant petrel ,Macronectes sp.,MACSP,-46,1
Cape petrel,Daption capense,DAPCAP,-46,9
Sooty shearwater,Puffinus griseus,PUFGRI,-46,200
Buller's mollymawk,Thalassarche bulleri,THABUL,-46,1
Giant petrel ,Macronectes sp.,MACSP,-46,2
Cape petrel,Daption capense,DAPCAP,-46,9
Sooty shearwater,Puffinus griseus,PUFGRI,-46,100
Southern black-backed gull ,Larus dominicanus ,LARDOM,-46,1
Salvin's mollymawk,Thalassarche salvini,THASAL,-46,1
Giant petrel ,Macronectes sp.,MACSP,-46,1
Cape petrel,Daption capense,DAPCAP,-46,8
Prion ,Pachyptila sp,PACSP,-46,2
Sooty shearwater,Puffinus griseus,PUFGRI,-46,20
Southern black-backed gull ,Larus dominicanus ,LARDOM,-46,9
Cape petrel,Daption capense,DAPCAP,-46,7
Prion ,Pachyptila sp,PACSP,-46,3
Sooty shearwater,Puffinus griseus,PUFGRI,-46,15
Southern black-backed gull ,Larus dominicanus ,LARDOM,-46,6
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,1
Southern royal albatross,Diomedea epomophora,DIOEPO,-45,2
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-45,1
Cape petrel,Daption capense,DAPCAP,-45,12
Sooty shearwater,Puffinus griseus,PUFGRI,-45,8
Black / White-bellied storm-petrel,Fregetta grallaria ,FREGRATRO,-45,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,1
Southern royal albatross,Diomedea epomophora,DIOEPO,-45,1
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-45,2
Cape petrel,Daption capense,DAPCAP,-45,14
Mottled petrel,Pterodroma inexpectata,PTEINE,-45,6
Sooty shearwater,Puffinus griseus,PUFGRI,-45,6
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,6
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,2
Southern royal albatross,Diomedea epomophora,DIOEPO,-45,2
Cape petrel,Daption capense,DAPCAP,-45,2
Sooty shearwater,Puffinus griseus,PUFGRI,-45,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,7
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,1
Cape petrel,Daption capense,DAPCAP,-45,1
Sooty shearwater,Puffinus griseus,PUFGRI,-45,6
Black / White-bellied storm-petrel,Fregetta grallaria ,FREGRATRO,-45,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,3
White-chinned petrel,Procellaria aequinoctialis,PROAEQ,-45,1
Sooty shearwater,Puffinus griseus,PUFGRI,-45,3
Black / White-bellied storm-petrel,Fregetta grallaria ,FREGRATRO,-45,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-45,1
Prion ,Pachyptila sp,PACSP,-45,30
Sooty shearwater,Puffinus griseus,PUFGRI,-45,2
Black / White-bellied storm-petrel,Fregetta grallaria ,FREGRATRO,-45,8
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,1
Black / White-bellied storm-petrel,Fregetta grallaria ,FREGRATRO,-44,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,1
Giant petrel ,Macronectes sp.,MACSP,-44,1
Prion ,Pachyptila sp,PACSP,-44,2
White-faced storm petrel,Pelagodroma marina,PELMAR,-44,1
Black / White-bellied storm-petrel,Fregetta grallaria ,FREGRATRO,-44,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-44,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-43,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-43,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-43,1
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-43,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-43,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-43,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-43,1
White-chinned petrel,Procellaria aequinoctialis,PROAEQ,-43,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,1
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-42,3
Short-tailed shearwater,Puffinus tenuirostris,PUFTEN,-42,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,1
Short-tailed shearwater,Puffinus tenuirostris,PUFTEN,-42,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,2
Short-tailed shearwater,Puffinus tenuirostris,PUFTEN,-42,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-42,2
Short-tailed shearwater,Puffinus tenuirostris,PUFTEN,-42,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-41,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-41,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-41,2
White-chinned petrel,Procellaria aequinoctialis,PROAEQ,-41,1
Short-tailed shearwater,Puffinus tenuirostris,PUFTEN,-41,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40,1
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-40,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40,1
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-40,1
Short-tailed shearwater,Puffinus tenuirostris,PUFTEN,-40,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39,1
Short-tailed shearwater,Puffinus tenuirostris,PUFTEN,-39,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39,2
Short-tailed shearwater,Puffinus tenuirostris,PUFTEN,-39,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39,2
Short-tailed shearwater,Puffinus tenuirostris,PUFTEN,-39,5
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39,1
Short-tailed shearwater,Puffinus tenuirostris,PUFTEN,-39,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-33.083333333333336,1
